お金が足りない...	没有足够的金钱…
{0}を購入しました	购买了{0}
{0}を売却しました	出售了{0}
無	无
火	火
冷気	寒气
風	风
雷	雷
聖	圣
冥	冥
毒	毒
眠り	睡眠
麻痺	麻痹
即死	即死
混乱	混乱
魅了	魅惑
属性7	属性7
属性8	属性8
状態7	状态7
状態8	状态8
リザルト	结果
セーブしました！	保存完毕！
上書き保存します。よろしいですか？	您确定要覆盖存档吗？
本当にゲームを終了しますか？	您真的要退出游戏吗？
カーソル移動	移动光标
キャスト選択	选择演员
設定変更	更改设置
閉じる	关闭
消費{0} : {1}	消费{0}：{1}
アイテム無し	暂无物品
消耗品	消耗品
武器	武器
体防具	身体防具
頭防具	头部防具
装飾品	装饰品
所持数	持有数
使う	使用
捨てる	处置
状態	状态
正常	正常
死	死亡
誰が使いますか？	由谁使用？
スキル無し	暂无技能
誰の装備を変更しますか？	要更换谁的装备？
はずす	卸除
なし	无
誰のステータスを見ますか？	要查看谁的能力值？
腕力	力量
体力	体力
つぎのレベルまで	距离下一等级还需
ゲームオーバー	游戏结束
誰を攻撃しますか？	由谁发动攻击？
誰に使用しますか？	要用在谁的身上？
{0}は様子を見ている	{0}正在观察情况
{0}は眠っている……	{0}正在睡觉……
{0}は麻痺で動けない！	{0}因麻痹无法动弹！
{0}の会心の一撃！	{0}的会心一击！
{0}は身を守っている……	{0}保护着自己……
{0}は力をためている……	{0}正在积蓄力量……
{0}の攻撃！	{0}的攻击！
{0}は{1}を発動した！	{0}发动了{1}！
{0}は{1}を使った！	{0}使用了{1}！
モンスターが現れた！	怪物出现了！
戦闘に勝利した！	战斗胜利！
全滅した……	我方全灭……
{0}は逃げ出した！	{0}逃跑了！
お金を{0}{1}手に入れた！	获得了{0}{1}金钱！
アイテム[{0}]を手に入れた！	获得了物品[{0}]！
経験値を{0}ポイント獲得した！	获得了{0}点经验值！
逃げる	逃跑
ミス	Miss
戻る	返回
一瞬	极快
速い	快
普通	正常
遅い	慢
記憶する	记住
記憶しない	不记住
続き	继续
{0}は毒を受けている！	{0}处于中毒状态！
{0}は混乱している！	{0}处于混乱状态！
