お金が足りない...	沒有足够的金錢…
{0}を購入しました	購買了{0}
{0}を売却しました	出售了{0}
無	無
火	火
冷気	寒氣
風	風
雷	雷
聖	聖
冥	冥
毒	毒
眠り	睡眠
麻痺	麻痹
即死	即死
混乱	混亂
魅了	魅惑
属性7	内容7
属性8	内容8
状態7	狀態7
状態8	狀態8
リザルト	結果
セーブしました！	保存完畢！
上書き保存します。よろしいですか？	您確定要覆蓋存檔嗎？
本当にゲームを終了しますか？	您真的要退出遊戲嗎？
カーソル移動	移動光標
キャスト選択	選擇演員
設定変更	更改設定
閉じる	關閉
消費{0} : {1}	消費{0}:{1}
アイテム無し	暫無物品
消耗品	消耗品
武器	武器
体防具	身體防具
頭防具	頭部防具
装飾品	裝飾品
所持数	持有數
使う	使用
捨てる	處置
状態	狀態
正常	正常
死	死亡
誰が使いますか？	由誰使用？
スキル無し	暫無技能
誰の装備を変更しますか？	要更換誰的裝備？
はずす	卸載
なし	無
誰のステータスを見ますか？	要查看誰的能力值？
腕力	力量
体力	體力
つぎのレベルまで	距離下一等級還需
ゲームオーバー	遊戲結束
誰を攻撃しますか？	由誰發動攻擊？
誰に使用しますか？	要用在誰的身上？
{0}は様子を見ている	{0}正在觀察情况
{0}は眠っている……	{0}正在睡覺……
{0}は麻痺で動けない！	{0}因麻痹無法動彈！
{0}の会心の一撃！	{0}的會心一擊！
{0}は身を守っている……	{0}保護著自己……
{0}は力をためている……	{0}正在積蓄力量……
{0}の攻撃！	{0}的攻擊！
{0}は{1}を発動した！	{0}發動了{1}！
{0}は{1}を使った！	{0}使用了{1}！
モンスターが現れた！	怪物出現了！
戦闘に勝利した！	戰鬥勝利！
全滅した……	我方全滅……
{0}は逃げ出した！	{0}逃跑了！
お金を{0}{1}手に入れた！	獲得了{0}{1}金錢！
アイテム[{0}]を手に入れた！	獲得了物品[{0}]！
経験値を{0}ポイント獲得した！	獲得了{0}點經驗值！
逃げる	逃跑
ミス	Miss
戻る	返回
一瞬	極快
速い	快
普通	正常
遅い	慢
記憶する	記住
記憶しない	不記住
続き	繼續
{0}は毒を受けている！	{0}處於中毒狀態！
{0}は混乱している！	{0}處於混亂狀態！
{0}は魅了されている！	{0}處於魅惑狀態！
{0}は混乱から回復した！	{0}從混亂狀態中恢復了！
{0}は立ち上がった！	{0}振作了起來！
{0}は魅了から回復した！	{0}從魅惑狀態中恢復了！
{0}は麻痺から回復した！	{0}從麻痹狀態中恢復了！
{0}は毒から回復した！	{0}從中毒狀態中恢復了！
{0}は目を覚ました！	{0}醒來了！
逃げることができなかった！	逃脫失敗！
アイテム袋がいっぱいです。	物品袋已滿。
どのアイテムを捨てますか？	要丟棄哪些物品？
{0}をすべて捨てます。よろしいですか？	確認丟棄{0}嗎？
{0}をあきらめる	放弃{0}
アイテムが一杯のため、装備が外せませんでした。	由於物品袋已滿，無法卸載裝備。
属性	内容
使用する対象を選んでください	請選擇使用目標
合計{0}種類	總計{0}種
ニックネーム	昵稱
{0}は状態7になった！	{0}進入狀態7！
{0}は状態8になった！	{0}進入狀態8！
{0}は状態7から回復した！	{0}從狀態7中恢復了！
{0}は状態8から回復した！	{0}從狀態8中恢復了！
先制した！	先發制人！
先制された！？	被搶先了？！
同行メンバー	同行成員
交代	替換
そのまま	保持原狀
モンスター	怪物
相手が新しいモンスターを出そうとしてる！	對手試圖喚出新的怪物！
どのモンスターを出しますか？	要喚出哪只怪物？
{0}は{1}を使った	{0}使用了{1}！
{0}の捕獲に成功！	成功捕獲{0}！
{0}に逃げられた……	{0}逃跑了……
新手のモンスターの気配がする！	發現了新一波怪物的迹象！
しかし{0}が足りなかった！	但是{0}不够！
セーブデータ無し	暫無保存數據
空き	空白
{0}が現れた！	{0}出現了！
誰と場所を入れ替えますか？	和誰替換位置？
貴重品	貴重物品
????	？？？？
∞	∞
毒ダメージ軽減率	毒害降低率
会話シーン	對話場景
攻撃	攻擊
防御	防禦
戦う	戰鬥
通常攻撃	普通攻擊
勇者A	勇者A
勇者B	勇者B
エルフA	精靈A
エルフB	精靈B
格闘家A	格鬥家A
格闘家B	格鬥家B
白魔導士	白魔導士
黒魔導士	黑魔導士
神官A	神官A
神官B	神官B
大魔導士	大魔導士
王族A	王族A
王族B	王族B
王族C	王族C
王族D	王族D
大臣	大臣
隊長	隊長
兵士	阿兵哥
賢者	賢者
村人A	村民A
村人B	村民B
村人C	村民C
村人D	村民D
子供A	兒童A
子供B	兒童B
ハウスキーパー	管家
店員A	店員A
店員B	店員B
商人A	商人A
商人B	商人B
船乗り	船員
海賊	海盜
悪魔の騎士	惡魔騎士
スライム	滑板
ゴブリン	哥布林
ガイコツ	骸骨
狼	狼
犬	狗
猫A	猫A
猫B	猫B
小鳥	小鳥
スライムラヴァ	熔岩史萊姆
キラービー	殺人蜂
オオコウモリ	巨型蝙蝠
カニバルフラワー	食人花
コーラルスネーク	珊瑚蛇
キングコブラ	眼鏡王蛇
サンドスネーク	沙蛇
ボスゴブリン	哥布林老大
ダイアウルフ	恐狼
ゾンビ	僵屍
スケルトンファイター	骷髏戰士
サキュバス	女魅魔
ウィザード	巫師
メイジ	法師
エレメント	元素
ウィルオーウィスプ	鬼火
盗賊	盜賊
ゴーレム	魔像
メタルゴーレム	金屬魔像
大魔道士	大魔道士
ドロドロした粘液状態のモンスター。知性を持たない。	黏糊糊的怪物，不具有智慧。
高熱の溶岩地域に住む、ドロドロした粘液状態のモンスター。知性を持たない。	棲息在高溫熔岩地區的黏糊糊的怪物，不具有智慧。
群れを成して襲い来る毒バチ。	成群襲擊的毒蜂。
暗闇を好む吸血コウモリ。	喜暗的吸血蝙蝠。
魔力の高い土地に咲く人食い花	食人花，綻放於魔力富足的土地之上。
溶岩地帯にすむ毒蛇。炎属性の魔法はあまり効かない。	棲息於熔岩地帶的毒蛇，火魔法抗性極高。
猛毒を持つ大型の蛇。\n	毒性極强的大型蛇類。
砂漠に住む毒蛇。	棲息在沙漠中的毒蛇。
小柄な緑色の鬼。	身材短小的綠色鬼怪。
ゴブリンの中でも特に屈強な個体。	哥布林中特別強壯的個體。
硬く輝く毛皮を持つ狼。	毛皮鋥亮而堅韌的狼。
闇の力で動く死体。	憑藉黑暗力量活動的屍體。
骨の髄まで闘いが染みついてしまった戦士のむくろ。	戰鬥欲望早已浸透骨髓的戰士亡骸。
喜びの死を招く魔物。	招致喜悅之死的魔物。
魔術を操る意義までは理解できなかった者。	無法理解到操控魔法意義層面上的人。
闇に落ちた魔法学者のなれの果て。	魔法學者墮入黑暗後的結局。
この世に未練を残した死者の魂。	在世上留下遺憾的死者靈魂。
醜い情念の炎をまとった死者の魂。	籠罩著醜陋激情之火的死者靈魂。
